fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.6,0.43,0.37,3.3,0.08,27.0,144.0,0.9978,3.27,0.51,9.4,5
7.1,0.6,0.01,2.0,0.08900000000000001,17.0,41.0,0.99579,3.44,0.6,10.9,6
6.6,0.96,0.08,2.2,0.11199999999999999,57.0,150.0,0.9955,2.99,1.04,9.8,5
9.5,0.69,0.22,2.0,0.084,15.0,103.0,0.99687,3.15,0.5,9.5,5
7.2,0.62,0.06,1.9,0.07400000000000001,25.0,57.0,0.9967,3.37,0.81,9,6
8.7,0.38,0.22,2.1,0.11199999999999999,12.0,20.0,0.9949600000000001,3.18,0.58,11.3,5
8.9,0.28,0.51,3.0,0.102,12.0,22.0,0.996,3.33,0.97,12.7,7
11.6,0.23,0.64,2.2,0.125,7.0,21.0,0.9988,3.27,0.6,11.3,6
7.2,0.44,0.17,5.0,0.061,5.0,17.0,0.9947,3.32,0.47,10.5,7
7.4,0.935,0.16,1.9,0.07,8.0,39.0,0.99645,3.39,0.45,9.3,5
9.3,0.605,0.29,1.8,0.064,3.0,19.0,0.997,3.11,0.72,9.9,5
7.6,0.49,0.27,1.9,0.071,20.0,65.0,0.9978600000000001,3.43,0.59,9.3,5
6.9,0.69,0.11,2.1,0.066,15.0,27.0,0.9927,3.56,0.55,12.9,6
8.8,0.93,0.1,1.5,0.071,5.0,18.0,0.9969299999999999,3.22,0.66,10.4,5
8.6,0.63,0.04,2.2,0.09699999999999999,9.0,35.0,0.99746,3.29,0.5,9.4,5
7.6,0.935,0.0,4.1,0.122,27.0,51.0,0.9984,3.5,0.95,9.8,4
10.7,0.59,0.33,2.6,0.09,21.0,37.0,0.9997,3.16,0.73,10.2,6
8.7,0.775,0.29,2.5,0.068,30.0,54.0,0.99623,3.3,0.47,9.2,5
12.2,0.4,0.49,2.2,0.065,5.0,17.0,10.004,3.15,0.64,9.5,5
6.9,0.4,0.13,2.4,0.083,31.0,68.0,0.99592,3.34,0.56,11.4,6
10.8,0.42,0.47,2.5,0.09,6.0,12.0,0.9972,3.12,0.72,9.5,6
6.6,0.91,0.02,3.1,0.069,32.0,79.0,0.9976,3.5,0.66,9.2,6
7.5,0.54,0.01,1.9,0.079,41.0,144.0,0.9968,3.26,0.53,9.4,5
10.7,0.32,0.49,1.8,0.075,12.0,38.0,0.9969,3.06,0.91,10.1,7
8.6,0.43,0.44,2.1,0.213,25.0,112.0,0.9972,3.12,1.06,9.4,5
5.6,0.66,0.0,1.5,0.096,6.0,18.0,0.9936,3.55,0.62,*,5
7.1,0.73,0.08,2.6,0.087,11.0,36.0,0.9973,3.56,0.53,9.4,5
8.9,0.42,0.05,2.0,0.08199999999999999,3.0,11.0,0.99434,3.2,0.53,11.4,6
6.8,0.36,0.28,1.8,0.071,11.0,64.0,0.9972,3.45,0.68,9.5,6
8.8,0.785,0.22,2.2,0.09300000000000001,10.0,15.0,0.9964,3.24,0.51,10,6
8.9,0.71,0.18,3.8,0.096,20.0,51.0,0.9956,3.34,0.57,12.6,6
6.7,0.29,0.47,1.7,0.069,23.0,23.0,0.99354,3.38,0.45,11.4,6
7.8,0.42,0.38,2.5,0.066,5.0,10.0,0.9978,3.41,0.56,9.5,5
9.8,0.38,0.46,1.7,0.094,16.0,22.0,0.998,3.05,0.7,10,6
7.4,0.58,0.08,3.3,0.087,15.0,38.0,0.9956,3.35,0.68,12.6,6
6.8,0.49,0.18,2.7,0.083,19.0,53.0,0.9958,3.59,0.61,11.3,5
7.6,0.34,0.4,2.0,0.087,24.0,64.0,0.99556,3.3,0.7,10.9,6
8.6,0.54,0.11,2.0,0.08,23.0,66.0,0.99659,3.22,0.7,10.7,6
7.4,0.5,0.1,2.4,0.095,16.0,46.0,0.99659,3.47,0.58,9.7,5
8.7,0.575,0.1,2.1,0.081,15.0,35.0,0.9976,3.28,0.47,9.7,5
6.5,0.44,0.14,2.5,0.063,18.0,37.0,0.9934799999999999,3.55,0.64,12.4,6
9.3,0.32,0.53,2.8,0.09,6.0,28.0,0.9982,3.21,0.7,10.7,6
6.4,0.57,0.1,1.2,0.054000000000000006,17.0,12.0,0.9949399999999999,3.49,0.49,9.3,4
6.6,0.64,0.06,1.8,0.08,11.0,31.0,0.9974,3.39,0.7,9.9,5
7.1,0.66,0.0,2.2,0.073,3.0,6.0,0.9977,3.38,0.47,9.2,5
8.5,0.46,0.15,2.3,0.084,25.0,55.0,0.9973299999999999,3.31,0.67,9.7,6
10.2,0.54,0.39,15.4,0.214,48.0,85.0,100.369,3.18,0.77,9,6
7.3,0.855,0.28,2.3,0.096,23.0,85.0,0.9991,3.25,0.47,9.7,5
11.6,0.43,0.64,2.1,0.12300000000000001,6.0,24.0,0.9986,3.2,0.66,11.3,6
7.7,0.935,0.0,2.8,0.087,6.0,16.0,0.9937799999999999,3.36,0.44,11.8,6
9.2,0.52,0.79,3.4,0.61,32.0,68.0,0.9996,2.86,1.98,9.4,4
7.1,0.42,0.18,2.8,0.07400000000000001,15.0,35.0,0.9978,3.3,0.49,9,5
8.7,0.22,0.39,1.7,0.078,17.0,32.0,0.99426,3.26,0.54,12.3,6
11.2,0.32,0.49,1.4,0.063,6.0,13.0,0.9979,3.13,0.73,11.4,6
5.6,0.29,0.24,1.7,0.062,25.0,56.0,0.9912,3.78,0.62,11,6
7.6,0.42,0.0,1.8,0.096,9.0,28.0,0.9956,3.36,0.43,9.2,5
6.5,0.8,0.02,7.1,0.087,5.0,24.0,0.998,3.35,0.44,9.4,4
7.3,0.78,0.14,3.2,0.092,6.0,23.0,0.9984,3.32,0.47,10,4
6.6,0.61,0.15,1.8,0.073,11.0,25.0,0.99516,3.34,0.54,9.8,5
8.2,0.66,0.1,2.1,0.061,16.0,21.0,0.9969399999999999,3.21,0.64,10.2,6
6.7,0.33,0.26,13.7,0.073,68.0,113.0,0.9952200000000001,3.33,0.56,11.4,4
8.9,0.35,0.43,2.5,0.084,11.0,47.0,0.9972,3.36,0.88,10.6,7
6.0,0.39,0.22,1.8,0.067,24.0,31.0,0.9945799999999999,3.39,0.42,10,6
7.6,0.47,0.29,1.6,0.401,16.0,56.0,0.9968,3.08,1.21,9.3,5
5.8,0.61,0.07,1.9,0.057999999999999996,28.0,95.0,0.9904,3.54,0.58,10.4,4
6.0,0.67,0.04,2.1,0.08800000000000001,12.0,35.0,0.99685,3.52,0.53,9.4,5
9.5,0.59,0.49,2.9,0.09699999999999999,22.0,45.0,0.9989,3.29,0.53,9.6,5
11.7,0.36,0.49,4.0,0.09,21.0,61.0,10.001,3.15,0.63,10.8,6
7.0,0.57,0.0,1.9,0.08900000000000001,22.0,45.0,0.99636,3.58,0.59,9.7,5
9.9,0.745,0.1,1.9,0.076,10.0,23.0,0.9977,3.12,1.59,9.2,5
7.7,0.735,0.37,1.9,0.107,10.0,37.0,0.9969,3.26,0.71,9.3,5
10.1,0.42,0.25,1.9,0.084,5.0,40.0,0.99903,3.23,0.72,9.9,6
11.2,0.32,0.54,2.2,0.114,3.0,6.0,0.9988,3.14,0.6,9.3,6
6.1,0.21,0.3,2.1,0.064,14.0,30.0,0.99472,3.3,0.8,11.7,7
10.4,0.44,0.56,2.7,0.128,24.0,61.0,10.004,3.16,0.66,10,5
8.4,0.765,0.19,1.4,0.076,15.0,75.0,0.9961,3.14,0.57,9.5,5
8.1,0.44,0.7,1.9,0.063,23.0,72.0,0.9958,3.21,0.63,10.2,6
7.0,0.34,0.26,1.9,0.08,41.0,145.0,0.996,3.37,0.63,9.5,5
6.7,0.57,0.08,2.4,0.085,12.0,23.0,0.99474,3.36,0.48,11.4,5
7.4,0.785,0.0,1.7,0.052000000000000005,7.0,12.0,0.9965,3.27,0.62,10,5
6.5,0.51,0.02,2.0,0.07400000000000001,30.0,69.0,0.99577,3.36,0.78,9.8,6
8.2,0.29,0.37,1.7,0.06,20.0,56.0,0.9952,3.22,0.66,11.9,7
7.8,0.76,0.04,2.2,0.065,9.0,28.0,0.9958600000000001,3.33,0.53,9.5,6
5.4,0.905,0.13,1.4,0.04,17.0,91.0,0.9924,3.58,0.43,11.8,6
6.8,0.36,0.31,1.6,0.08900000000000001,16.0,44.0,0.99585,3.49,0.54,11.9,6
7.0,0.62,0.03,4.3,0.07,27.0,81.0,0.99525,3.51,0.5,11.8,4
6.7,0.64,0.06,1.9,0.059000000000000004,9.0,39.0,0.99616,3.52,0.7,10,5
8.9,0.75,0.19,2.2,0.08900000000000001,7.0,15.0,0.99879,3.29,0.52,9.4,5
8.4,1.105,0.31,6.3,0.055999999999999994,6.0,32.0,0.9938600000000001,3.31,0.47,12.5,6
6.9,0.775,0.02,5.7,0.084,9.0,18.0,0.9964200000000001,3.5,0.73,10.6,5
8.0,0.57,0.29,4.0,0.094,20.0,69.0,0.99734,3.22,0.67,9.6,5
10.2,0.59,0.28,13.6,0.204,48.0,80.0,100.34899999999999,3.18,0.77,9.2,6
8.8,0.68,0.02,1.8,0.091,15.0,22.0,0.99592,3.33,0.66,11.3,6
7.1,0.6,0.02,1.9,0.07400000000000001,8.0,20.0,0.996,3.37,0.81,9.9,6
6.7,0.46,0.04,2.6,0.059000000000000004,5.0,15.0,0.9931,3.26,0.64,12.9,5
7.0,0.61,0.0,2.0,0.092,18.0,90.0,0.99785,3.51,0.58,9.8,5
6.4,0.47,0.24,2.3,0.064,4.0,14.0,0.99582,3.44,0.64,12.8,8
7.2,0.45,0.33,2.0,0.062,14.0,22.0,0.99346,3.29,0.55,11.3,6
7.6,0.59,0.16,1.9,0.08900000000000001,27.0,109.0,0.9962,3.0,0.48,9.2,5
6.1,0.23,0.33,2.0,0.062,10.0,38.0,0.9947299999999999,3.4,0.7,11.2,7
6.8,0.49,0.31,8.8,0.07400000000000001,26.0,40.0,0.99824,3.27,0.65,9.3,5
6.7,0.46,0.28,1.8,0.086,24.0,54.0,0.99534,3.4,0.53,9.7,6
10.6,0.44,0.35,3.2,0.076,20.0,57.0,10.001,3.05,0.61,9.7,5
7.3,0.54,0.08,2.4,0.068,15.0,43.0,0.9952,3.33,0.67,10.4,4
8.0,0.4,0.36,2.6,0.096,18.0,79.0,0.9982,3.21,0.8,9.5,6
7.1,0.36,0.24,2.0,0.076,34.0,106.0,0.9962,3.33,0.57,9.5,5
12.9,0.38,0.68,2.1,0.083,6.0,8.0,0.9982,3.17,0.63,11.4,6
8.0,0.31,0.28,1.8,0.077,10.0,39.0,0.99575,3.38,0.72,9.3,5
8.4,0.5,0.12,2.6,0.08199999999999999,13.0,10.0,0.9960899999999999,3.37,0.88,10.5,7
9.1,0.62,0.1,4.0,0.07,35.0,60.0,0.99824,3.28,0.67,10.1,5
7.4,0.74,0.09,3.8,0.126,27.0,70.0,0.998,3.19,0.54,9.2,5
7.4,0.43,0.23,1.9,0.071,13.0,46.0,0.9953200000000001,3.51,0.66,11.1,5
7.2,0.6,0.01,2.3,0.079,25.0,45.0,0.99687,3.45,0.54,10.3,5
6.0,0.65,0.01,2.3,0.067,12.0,38.0,0.9959,3.52,0.54,10.1,5
8.3,0.54,0.27,1.9,0.076,13.0,47.0,0.9967,3.19,0.66,9.5,5
13.0,0.47,0.49,4.0,0.08800000000000001,26.0,45.0,10.021,3.3,0.78,12.7,6
9.6,0.5,0.39,2.5,0.075,21.0,144.0,0.9988,3.02,0.62,9.4,5
8.4,0.31,0.24,2.7,0.07200000000000001,5.0,13.0,0.9968,3.37,0.62,9.5,5
8.9,0.29,0.42,1.9,0.065,50.0,50.0,0.99406,3.28,0.71,11.4,6
7.4,0.41,0.5,1.4,0.61,6.0,16.0,0.99571,3.01,1.06,9.4,4
8.9,0.41,0.49,2.6,0.066,22.0,51.0,0.9945700000000001,3.2,0.79,11.8,6
8.9,0.25,0.37,2.3,0.057999999999999996,20.0,79.0,0.9952,3.2,0.8,11.9,6
9.6,0.5,0.34,1.9,0.069,9.0,18.0,0.9977,3.19,0.52,10.5,5
8.0,0.51,0.04,1.9,0.068,4.0,16.0,0.9952,3.41,0.54,10.4,4
9.4,0.5,0.21,2.0,0.114,6.0,20.0,0.997,3.28,0.52,9.8,5
8.7,0.51,0.27,2.3,0.081,20.0,36.0,0.99746,3.35,0.58,10.5,5
14.9,0.41,0.68,3.4,0.077,3.0,13.0,0.9946,3.0,0.49,11.2,5
7.4,0.63,0.0,1.8,0.075,18.0,49.0,0.9964,3.4,0.53,9.4,6
6.7,0.56,0.21,2.5,0.073,10.0,28.0,0.9949,3.3,0.86,12.8,6
6.6,0.68,0.0,1.9,0.08199999999999999,11.0,21.0,0.9969,3.34,0.58,10,5
7.0,0.35,0.24,2.7,0.057,17.0,38.0,0.9947600000000001,3.13,0.49,9.4,5
9.3,0.36,0.34,2.1,0.08800000000000001,31.0,53.0,0.9985,3.36,0.76,10.1,6
8.2,0.945,0.2,1.8,0.08800000000000001,19.0,52.0,0.9969399999999999,3.31,0.46,10,5
11.8,0.26,0.66,2.1,0.09300000000000001,7.0,24.0,0.9986,3.18,0.74,10.9,6
8.8,0.45,0.39,2.5,0.086,20.0,55.0,0.9984,3.31,0.67,9.7,6
9.6,0.785,0.15,5.9,0.084,22.0,124.0,0.9988,3.25,0.77,9.9,5
8.5,0.48,0.59,4.0,0.111,6.0,25.0,0.997,3.21,0.76,9.5,6
8.5,0.45,0.36,1.8,0.109,17.0,89.0,0.9965,3.14,0.56,9.8,5
9.1,0.62,0.32,2.5,0.096,6.0,13.0,0.9986,3.37,0.62,10.1,6
7.4,0.55,0.29,2.8,0.079,20.0,85.0,0.9978,3.42,0.57,9.6,5
7.3,0.69,0.02,2.1,0.084,16.0,25.0,0.9990000000000001,3.48,0.61,9.5,6
7.4,0.78,0.38,2.2,0.081,12.0,31.0,0.9978,3.41,0.6,10.5,6
10.0,0.42,0.73,6.25,0.07400000000000001,18.0,45.0,0.9996,3.23,0.88,12,7
6.3,0.74,0.27,2.3,0.091,10.0,32.0,0.9973200000000001,3.5,0.55,9.4,5
6.7,1.04,0.06,2.1,0.067,11.0,35.0,0.9942,3.54,0.55,10.9,4
8.8,0.43,0.35,2.6,0.083,10.0,49.0,0.9973,3.42,0.7,11.3,7
13.4,0.51,0.49,4.1,0.075,16.0,47.0,10.021,3.3,0.68,12.7,6
11.5,0.61,0.66,1.9,0.09,42.0,51.0,0.99731,2.98,0.87,9.9,8
15.6,0.47,0.75,2.9,0.11900000000000001,6.0,68.0,0.997,3.07,0.46,9.3,5
10.1,0.5,0.49,2.6,0.11699999999999999,11.0,37.0,0.99945,3.23,0.63,9.3,5
12.3,0.5,0.49,2.6,0.32299999999999995,6.0,16.0,10.006,3.1,0.7,9.5,3
10.0,0.6,0.48,1.4,0.055999999999999994,5.0,10.0,0.9977,3.14,0.6,9.4,5
9.0,0.56,0.36,1.9,0.081,7.0,17.0,0.9974,3.29,0.74,9.6,6
8.4,0.665,0.12,2.8,0.092,17.0,102.0,0.9964,3.24,0.62,9.7,5
7.2,0.77,0.12,2.4,0.076,12.0,34.0,0.9956,3.31,0.59,11.8,6
6.5,0.59,0.11,1.9,0.08,5.0,12.0,0.99649,3.36,0.53,9.5,5
7.4,0.635,0.02,2.4,0.08199999999999999,18.0,69.0,0.9953799999999999,3.53,0.61,10.9,6
12.2,0.49,0.5,2.4,0.095,7.0,32.0,10.004,3.16,0.61,10.2,6
10.6,0.31,0.54,2.7,0.095,12.0,55.0,0.9993799999999999,3.21,0.82,9.9,7
9.4,0.37,0.45,2.6,0.08199999999999999,9.0,21.0,0.9994,3.17,0.54,10.1,5
7.2,0.69,0.0,4.3,0.096,28.0,85.0,0.99945,3.48,0.57,9.6,5
